film,budget,box_office_us_canada,box_office_other,box_office_worldwide,release_date
Toy Story,30000000.0,223225679,171210907,394436586,1995-11-22
A Bug's Life,120000000.0,162798565,200460294,363258859,1998-11-25
Toy Story 2,90000000.0,245852179,265506097,511358276,1999-11-24
"Monsters, Inc.",115000000.0,255873250,272900000,528773250,2001-11-02
Finding Nemo,94000000.0,339714978,531300000,871014978,2003-05-30
The Incredibles,92000000.0,261441092,370001000,631442092,2004-11-05
Cars,120000000.0,244082982,217900167,461983149,2006-06-09
Ratatouille,150000000.0,206445654,417280431,623726085,2007-06-29
WALL-E,180000000.0,223808164,297503696,521311860,2008-06-27
Up,175000000.0,293004164,442094918,735099082,2009-05-29
Toy Story 3,200000000.0,415004880,651964823,1066969703,2010-06-18
Cars 2,200000000.0,191452396,368400000,559852396,2011-06-24
Brave,185000000.0,237283207,301700000,538983207,2012-06-22
Monsters University,200000000.0,268492764,475066843,743559607,2013-06-21
Inside Out,175000000.0,356461711,501149463,857611174,2015-06-19
The Good Dinosaur,175000000.0,123087120,209120551,332207671,2015-11-25
Finding Dory,200000000.0,486295561,542275328,1028570889,2016-06-17
Cars 3,175000000.0,152901115,231029541,383930656,2017-06-16
Coco,175000000.0,210460015,604181157,814641172,2017-11-22
Incredibles 2,200000000.0,608581744,634223615,1242805359,2018-06-15
Toy Story 4,200000000.0,434038008,639356585,1073394593,2019-06-21
Onward,175000000.0,61555145,80384897,141940042,2020-03-06
Soul,150000000.0,946154,120957731,121903885,2020-12-25
Luca,,1324302,49788012,51112314,2021-06-18
Turning Red,175000000.0,1399001,20414357,21813358,2022-03-11
Lightyear,200000000.0,118307188,108118232,226425420,2022-06-17
Elemental,200000000.0,154426697,342017611,496444308,2023-06-16
Inside Out 2,200000000.0,652980194,1045050771,1698030965,
